"id","genre","artist_name","energy","mood_vec","track_name","valence"
"1eIyIqYVVMJDi97kCUYS8p","piano","Lindsey Stirling","0.736","[{""N"":""0.348""},{""N"":""0.736""}]","Minimal Beat","0.348"
"42Eik5J9cI4lgBTm4oUfpS","power-pop","The Tories","0.814","[{""N"":""0.169""},{""N"":""0.814""}]","Greatest Foe","0.169"
"1xpxbjYD07ePajxG9UVKL6","chicago-house","Virgo","0.66","[{""N"":""0.746""},{""N"":""0.66""}]","It's A Crime","0.746"
"0ancVQ9wEcHVd0RrGICTE4","garage","Franz Ferdinand","0.664","[{""N"":""0.49""},{""N"":""0.664""}]","Take Me Out","0.49"
"0UAmPUdpTRq8w54B3H8TzY","party","French Montana","0.904","[{""N"":""0.71""},{""N"":""0.904""}]","Ain't Worried About Nothin","0.71"
"5f473ja4CvjQqtg9y5d4AH","punk-rock","Millencolin","0.996","[{""N"":""0.296""},{""N"":""0.996""}]","Fingers Crossed","0.296"
"2qWaTQWZxMDHiVy3VsBoNs","hardstyle","A-Lusion","0.928","[{""N"":""0.767""},{""N"":""0.928""}]","To The Ends - Original Mix","0.767"
"2zrWkcgscVHyPNfZEOk23z","chicago-house","Big Audio Dynamite","0.755","[{""N"":""0.879""},{""N"":""0.755""}]","Contact","0.879"
"6WXRIhPCWf2EJBGxXAWoZm","house","Axwell","0.704","[{""N"":""0.65""},{""N"":""0.704""}]","Roar","0.65"
"6qS6tQgywu5pq56dk3P9kQ","songwriter","John Martyn","0.227","[{""N"":""0.735""},{""N"":""0.227""}]","May You Never","0.735"
"7LhTC90bkrmvSMLraC23Zi","pagode","Thiaguinho","0.668","[{""N"":""0.965""},{""N"":""0.668""}]","Deite Que Vou Lhe Usar","0.965"
"1SNveRHhb2ROjnmkgwzhdT","swedish","Various Artists","0.568","[{""N"":""0.937""},{""N"":""0.568""}]","Ännu glöder solen","0.937"
"4hUwZbU7QvdYmTqD4zjcVT","detroit-techno","Elecktroids","0.58","[{""N"":""0.544""},{""N"":""0.58""}]","Midnight Drive","0.544"
"4ONxNDUiBKOeNs3J8FCsra","french","Léo Ferré","0.535","[{""N"":""0.6""},{""N"":""0.535""}]","Jolie Môme","0.6"
"71CFZjdSm2WSh5S6TPd69A","swedish","Veronica Maggio","0.704","[{""N"":""0.564""},{""N"":""0.704""}]","Hela huset","0.564"
"3kb38wezoUA8ki5jPYy3t5","road-trip","Passion Pit","0.786","[{""N"":""0.666""},{""N"":""0.786""}]","Little Secrets","0.666"
"0uBWMWm5P6tuCiavbjPWS0","british","Ellie Goulding","0.66","[{""N"":""0.254""},{""N"":""0.66""}]","The Writer","0.254"
"4D2nYW0lvUSkkaQsD9B21F","french","Brigitte Bardot","0.499","[{""N"":""0.921""},{""N"":""0.499""}]","Ne Me Laisse Pas L'Aimer","0.921"
"7DGnnHHFHQbdjLQXYTQ9Jm","show-tunes","Various Artists","0.123","[{""N"":""0.0884""},{""N"":""0.123""}]","Chava Ballet Sequence","0.0884"
"5Zm0I147SFvWT7Fyi24T8W","cantopop","Jan Lamb","0.939","[{""N"":""0.916""},{""N"":""0.939""}]","廢柴同盟","0.916"
"5u3l2TONYacJgmRPQVaF9y","metal","Amon Amarth","0.92","[{""N"":""0.278""},{""N"":""0.92""}]","Twilight Of The Thunder God","0.278"
"7clZ3fl3rvqhLbSOfEgbk5","pagode","Grupo Pagode","0.898","[{""N"":""0.912""},{""N"":""0.898""}]","Ainda Resta Uma Bagagem/ Eu E Você Sempre/ Amor E Amizade","0.912"
"2xntkH1BqQI9bGGXsTWwXp","j-idol","BAND JA NAIMON! MAXX NAKAYOSHI","0.911","[{""N"":""0.278""},{""N"":""0.911""}]","イヌイットディスコ","0.278"
"7rvkrfMUtA4k5KRRfREkFy","drum-and-bass","deadmau5","0.824","[{""N"":""0.292""},{""N"":""0.824""}]","Ghosts n Stuff - Sub Focus Remix","0.292"
"6svLbrgArGrmY2YIb0WmUY","mpb","Novos Baianos","0.921","[{""N"":""0.811""},{""N"":""0.921""}]","Tinindo Trincando","0.811"
"5LyzPhFwF7MgUY3aQD9TAG","disco","Bee Gees","0.671","[{""N"":""0.8""},{""N"":""0.671""}]","A Fifth Of Beethoven - 2007 Remastered Version Saturday Night Fever","0.8"
